song_id,title,canonical_artists,first_appearance,peak_rank,weeks_on_chart,avg_points
79,Sparks,Coldplay,2025-08-09,79,3,43
80,Bar None,Jordan Davis,2025-08-09,80,4,43
81,Went Legit,G Herbo,2025-08-09,81,4,43
82,Don't You Worry Baby,"Tyler, The Creator feat. Madison McFerrin",2025-08-09,59,2,42
83,Park,Tyler Hubbard,2025-08-09,83,1,42
84,I AM MEE,"Playboi Carti & The Weeknd",2025-08-09,4,20,42
85,Somewhere Over Laredo,Lainey Wilson,2025-08-09,85,4,41
86,EOO,Bad Bunny,2025-08-09,24,28,41
87,Frecuencia,"Los Dareyes De La Sierra",2025-08-09,87,2,41
88,Go Baby,Justin Bieber,2025-08-09,18,3,41
89,Nuevayol,Bad Bunny,2025-08-09,82,8,40
90,Typa,Glorilla,2025-08-09,42,7,40
91,Nice To Meet You,Myles Smith,2025-08-09,82,2,40
92,Revolving Door,Tate McRae,2025-08-09,22,16,40
93,Oh What A Wretched Man I Am!,Forrest Frank,2025-08-09,93,1,39
94,Stop Playing With Me,"Tyler, The Creator",2025-08-09,51,2,39
95,Madeline,"Zach Bryan feat. Gabriella Rose",2025-08-09,62,2,39
96,12 To 12,Forrest Frank,2025-08-09,96,1,38
97,A Lot More Free,Forrest Frank,2025-08-09,97,1,38
98,Tu Sancho,Fuerza Regida,2025-08-09,65,7,37
99,Somebody,Forrest Frank,2025-08-09,99,1,37
100,Kick Out,Travis Scott,2025-08-09,50,3,35
101,The Subway,Chappell Roan,2025-08-16,3,1,192
102,Napoleon,$uicideboy$,2025-08-16,55,1,58
103,Is It A Crime,"Mariah The Scientist & Kali Uchis",2025-08-16,62,1,54
104,Don't Mind If I Do,"Riley Green & Ella Langley",2025-08-16,76,1,43
105,Lemonade,"Forrest Frank & The Figs",2025-08-16,77,1,43
106,So Far So Fake,"Pierce The Veil",2025-08-16,90,1,40
107,Rather Lie,"Playboi Carti & The Weeknd",2025-08-16,4,21,43
108,Marlboro Rojo,Fuerza Regida,2025-08-16,64,12,41
109,Count Your Blessings,$uicideboy$,2025-08-16,93,1,39
110,Oh What A Wretched Man I Am!,$uicideboy$,2025-08-16,94,1,39
111,Whim Whamiee,"Pluto & YK NECCE",2025-08-16,51,16,39
