id,chart_week_id,rank,rank_change,points,points_change_pct,peak,woc,sales,sales_share_pct,streams,streams_share_pct,airplay,airplay_share_pct,units,song_id,created_at
47,1,47,-12,77,-8.0,3,41,1500,2.0,8400000,71.0,17100000,28.0,54400,47,2025-08-20 02:55:04
48,1,48,1,74,-1.0,28,19,11000,15.0,9900000,82.0,1400000,2.0,70700,48,2025-08-20 02:55:04
49,1,49,1,73,1.0,49,15,900,1.0,6500000,60.0,22800000,39.0,42200,49,2025-08-20 02:55:04
50,1,50,-34,71,-37.0,16,2,1000,1.0,10200000,99.0,0,0.0,70400,50,2025-08-20 02:55:04
51,1,51,-10,65,-21.0,41,2,200,0.0,8800000,100.0,100000,0.0,64800,51,2025-08-20 02:55:04
52,1,52,5,62,-3.0,20,11,200,0.0,8400000,99.0,100000,0.0,61300,52,2025-08-20 02:55:04
53,1,53,5,61,-3.0,30,6,400,1.0,8100000,93.0,3200000,6.0,55200,53,2025-08-20 02:55:04
54,1,54,16,60,9.0,54,7,500,1.0,7900000,91.0,4100000,8.0,53800,54,2025-08-20 02:55:04
55,1,55,-3,58,-15.0,44,11,700,1.0,4800000,57.0,19700000,42.0,33700,55,2025-08-20 02:55:04
56,1,56,9,58,2.0,17,59,200,0.0,6900000,79.0,9800000,21.0,45200,56,2025-08-20 02:55:04
57,1,57,-24,57,-36.0,33,2,200,0.0,7700000,99.0,300000,1.0,56400,57,2025-08-20 02:55:04
58,1,58,2,56,3.0,53,9,700,1.0,7400000,95.0,1800000,4.0,53800,58,2025-08-20 02:55:04
59,1,59,4,56,4.0,10,6,500,1.0,4600000,52.0,21300000,47.0,28300,59,2025-08-20 02:55:04
60,1,60,5,56,-4.0,8,12,1600,2.0,7600000,92.0,4100000,9.0,48500,60,2025-08-20 02:55:04
61,1,61,-8,56,-19.0,28,3,1500,3.0,7300000,91.0,3000000,7.0,51800,61,2025-08-20 02:55:04
62,1,62,10,54,2.0,62,7,2000,4.0,7300000,91.0,2500000,6.0,48700,62,2025-08-20 02:55:04
63,1,63,5,54,-3.0,62,6,2000,4.0,4700000,55.0,18000000,42.0,29300,63,2025-08-20 02:55:04
64,1,64,-9,54,-16.0,55,2,100,0.0,7300000,100.0,0,0.0,53500,64,2025-08-20 02:55:04
65,1,65,-3,54,-3.0,56,14,1500,2.0,7800000,96.0,600000,1.0,49700,65,2025-08-20 02:55:04
66,1,66,5,53,-1.0,63,18,1500,2.0,3100000,37.0,25700000,61.0,18800,66,2025-08-20 02:55:04
67,1,67,5,51,3.0,67,4,500,1.0,7100000,99.0,0,0.0,50500,67,2025-08-20 02:55:04
68,1,68,2,50,-2.0,65,15,200,0.0,5200000,75.0,9800000,25.0,36700,68,2025-08-20 02:55:04
69,1,69,10,49,1.0,61,15,2000,4.0,6100000,83.0,5200000,13.0,41000,69,2025-08-20 02:55:04
70,1,70,0,48,-7.0,8,12,300,1.0,6900000,99.0,1000000,1.0,46500,70,2025-08-20 02:55:04
71,1,71,0,48,5.0,18,17,300,1.0,2100000,29.0,25100000,65.0,16300,71,2025-08-20 02:55:04
72,1,72,11,47,2.0,55,15,200,0.0,4800000,73.0,10100000,27.0,34100,72,2025-08-20 02:55:04
73,1,73,-25,46,-39.0,48,2,100,0.0,6200000,100.0,0,0.0,46100,73,2025-08-20 02:55:04
74,1,74,18,45,3.0,74,2,100,0.0,6300000,99.0,100000,0.0,45200,74,2025-08-20 02:55:04
75,1,75,16,45,3.0,75,3,900,2.0,5800000,96.0,800000,2.0,43600,75,2025-08-20 02:55:04
76,1,76,-9,44,-21.0,32,10,400,1.0,6200000,99.0,100000,0.0,43200,76,2025-08-20 02:55:04
77,1,77,8,44,-4.0,31,11,100,0.0,5900000,99.0,100000,0.0,43500,77,2025-08-20 02:55:04
78,1,78,0,44,-8.0,40,24,1500,3.0,5300000,82.0,5200000,15.0,36200,78,2025-08-20 02:55:04
79,1,79,1,43,-5.0,79,3,200,1.0,6200000,99.0,0,0.0,43700,79,2025-08-20 02:55:04
80,1,80,15,43,3.0,80,4,500,1.0,3900000,55.0,15000000,43.0,22900,80,2025-08-20 02:55:04
81,1,81,8,43,-2.0,81,4,100,0.0,6200000,88.0,4200000,12.0,37300,81,2025-08-20 02:55:04
82,1,82,-23,42,-32.0,59,2,100,0.0,5700000,100.0,0,0.0,42200,82,2025-08-20 02:55:04
83,1,83,0,42,,83,1,200,0.0,400000,7.0,31200000,93.0,2900,83,2025-08-20 02:55:04
84,1,84,14,42,0.0,4,20,100,0.0,2900000,48.0,17400000,52.0,19600,84,2025-08-20 02:55:04
85,1,85,14,41,-1.0,85,4,900,2.0,4100000,65.0,10900000,33.0,26100,85,2025-08-20 02:55:04
86,1,86,7,41,-5.0,24,28,100,0.0,4300000,71.0,9300000,28.0,28800,86,2025-08-20 02:55:04
87,1,87,7,41,-3.0,87,2,100,0.0,6700000,99.0,100000,0.0,40400,87,2025-08-20 02:55:04
